text,label
Federal Bank: ₹15466 invested in UTI Mutual Fund on 24/10/25. A/c *2002. Ref 549585144771.,Investment
Sent Rs.966.00 From Karnataka Bank A/C XX4367 To BMTC On 04/08/24 Ref 321623106132,Travel
Sent ₹1282 From Kotak Bank A/C *2296 To Barbeque Nation On 23/05/2025 Ref 449238746179,Food & Dining
Fees payment Rs.44238 to byjus@icici. Union Bank. A/c 5646. 05-01-2024. Ref 276933159930.,Education
Rs.2445 paid to Ola Cabs via UPI. Kotak Bank A/c XX4567. 26-06-26.,Travel
UPI txn ₹2755 to actfibernet@ybl from Union Bank A/c 1322 on 12/10/2025. Ref 537833553093.,Utilities
Sent ₹989 to Shoppers Stop on 09-10-24. Union Bank A/c XX2422. Ref 805142043846.,Shopping
Sent ₹3497 to Lifestyle on 02/06/2026. Kotak Bank A/c *6837. Ref 886679023636.,Shopping
Sent Rs.42581 From Karnataka Bank A/C ****8326 To SUNITA DEVI On 26/10/25 Ref 583745174339,Personal Transfer
Your a/c 8656 debited for ₹45586 on 25/10/26 trf to Simplilearn. UPI:596812159478. -ICICI Bank,Education
UPI txn Rs.587.00 to blusmart@oksbi from ICICI Bank A/c ****1423 on 25/04/25. Ref: 158019318943.,Travel
Money sent: Rs.33330 to Deepak Joshi. HDFC Bank A/c *8596. 25-11-26. UPI:435183846991.,Personal Transfer
Sent Rs.1543.00 From Kotak Bank A/C 3191 To YouTube Premium On 01-09-2024 Ref 451491031671,Entertainment
MF purchase INR 4863 to kuvera@hdfcbank. Yes Bank. A/c 2125. 26-12-2025. Ref 849108924048.,Investment
Debit ₹693 from Karnataka Bank a/c XX6005 for Manorama Online on 13-09-2024. Ref 846322036190.,Entertainment
Payment ₹13136 to decathlon@oksbi done. ICICI Bank A/c ****6842. 01/04/24. UPI Ref:646410185270.,Shopping
Sent INR 6123 From SBI A/C ****6697 To Ola Cabs On 01-04-26 Ref 750191711459,Travel
Sent ₹327 to Theobroma on 22-09-2025. A/c XX7717. UPI:421103744521. -IndusInd Bank,Food & Dining
UPI payment Rs.48252.00 to vedantu@kotak from Federal Bank A/c *5056. 09-04-2026. Ref 435215329958.,Education
UPI transfer Rs.47150 to Priya Singh from HDFC Bank A/c ****6327. 14/10/26. Ref 979745980198.,Personal Transfer
IndusInd Bank: ₹20548 debited to BYJU's on 12/01/2025. A/c ****5297. Ref 328897399736.,Education
UPI payment Rs.1209.00 to spotify@ybl from Karnataka Bank A/c 1288. 26/07/2026. Ref 833969299514.,Entertainment
Federal Bank: ₹29815 invested in Groww on 27/03/24. A/c 2162. Ref 858029172433.,Investment
UPI:542246830345. Rs.41211.00 debited from *1489 to KOTAK EMI on 18/10/2025. Loan EMI. -Federal Bank,Loan & EMI
Rs.859 paid to LIFECARE CLINIC via UPI. Karnataka Bank A/c *9896. 07/05/2026.,Healthcare
Sent Rs.12304.00 From Yes Bank A/C ****2807 To Sharekhan On 07-03-26 Ref 158637657197,Investment
Sent Rs.605.00 From Yes Bank A/C *8032 To HP GAS On 01-04-2024 Ref 635478562011,Utilities
Sent INR 4355 to Thyrocare on 10-05-24. UPI:506259651196. Union Bank A/c XX8503.,Healthcare
Debit ₹2485 from Axis Bank a/c *6028 for Airtel Xstream bill on 25/11/24. Ref 211188602681.,Utilities
Your a/c XX5014 debited for Rs.38063.00 on 02-12-26 trf to Meena Krishnan. UPI:591208276969. -IndusInd Bank,Personal Transfer
Bill payment Rs.4438.00 to airtel@axisbank. SBI. A/c *5042. 06-02-25. Ref 449968116863.,Utilities
Debit Rs.85091 from Federal Bank a/c XX6187 for TUITION FEES fees on 01/06/2024. Ref 273003306620.,Education
Axis Bank: INR 56902 debited to ST XAVIER'S COLLEGE on 04-01-24. A/c ****3406. Ref 562646689734.,Education
HDFC Bank: EMI Rs.19513.00 debited on 01/03/2025. A/c ****6694. Loan ref 752598289828.,Loan & EMI
Rs.11997 paid to NITTE UNIVERSITY via UPI. ICICI Bank A/c 9733. 19-12-2024.,Education
Payment ₹11936 to decathlon@oksbi done. Axis Bank A/c 6637. 28-04-2025. UPI Ref:327566387836.,Shopping
Yes Bank: INR 59127 debited to Simplilearn on 07-08-25. A/c *2080. Ref 572807202316.,Education
UPI payment ₹892 to inox@kotak from Karnataka Bank A/c ****4051. 02-06-2025. Ref 804235256880.,Entertainment
FD/RD installment ₹8437 to PPF ACCOUNT. Kotak Bank A/c ****2872. 24/03/25. Ref 863278514296.,Investment
Rs.8088 SIP debited to FD CREATION. ICICI Bank A/c 7335. 16-01-2024.,Investment
ICICI Bank: Card purchase of Rs.14784.00 at Vijay Sales on 21/09/2024. A/c XX9869. Ref 305216663658.,Shopping
Bill payment ₹1876 to bescom@upi. Federal Bank. A/c 8798. 06-01-25. Ref 292392379827.,Utilities
Your a/c XX3840 debited for INR 34305 on 13/12/2025 trf to SRL Diagnostics. UPI:631838920958. -SBI,Healthcare
Sent INR 479 to Lal PathLabs on 19-04-25. UPI:764935246584. Karnataka Bank A/c ****8613.,Healthcare
Your a/c ****4636 debited for Rs.15024.00 on 07/04/2024 trf to Zudio Kengeri Satell. UPI:914283750379. -Federal Bank,Shopping
Rs.1259 paid to HP GAS via UPI. Union Bank A/c XX8908. 09/12/2024.,Utilities
Installment Rs.33181 paid to Navi Loans on 02-08-26. Union Bank A/c XX8376. Ref 193615211067.,Loan & EMI
UPI payment of ₹19763 to myntra@kotak from HDFC Bank A/c *8526. 06-06-25. Ref: 760298914756.,Shopping
Bill payment Rs.246 to airtel@axisbank. HDFC Bank. A/c ****2288. 15-08-26. Ref 298422628419.,Utilities
Federal Bank: Rs.284 subscription to Hotstar Disney debited on 10-04-24. A/c ****1462. Ref 146689154959.,Entertainment
Kotak Bank: INR 10834 invested in NPS TRUST on 06/10/26. A/c *5414. Ref 959258682243.,Investment
Sent Rs.10286.00 From ICICI Bank A/C XX7749 To Cleartrip On 17/12/26 Ref 552459131890,Travel
UPI payment Rs.1169 to spotify@ybl from Yes Bank A/c XX9580. 11-10-2025. Ref 635162128901.,Entertainment
Payment of ₹1031 to uber@paytm. Kotak Bank. A/c 9042. 01/03/2026. Ref 280582980890.,Travel
Rs.1722 paid to NHAI FASTAG via UPI. HDFC Bank A/c XX1946. 10-06-26.,Travel
Sent Rs.6774.00 From Karnataka Bank A/C ****3001 To ICICI Pru MF On 19-01-2026 Ref 802474987421,Investment
Sent Rs.23200 From IndusInd Bank A/C 7974 To Kavya Nair On 26-04-25 Ref 324265797065,Personal Transfer
Rs.21793 paid to PW PhysicsWallah via UPI. ICICI Bank A/c *5384. 09/09/2025.,Education
HDFC Bank: INR 593 bill payment to Hathway on 23-11-2024. A/c *1948. Ref 272345299847.,Utilities
Your a/c XX4453 debited for Rs.27888.00 on 15-08-26 trf to SIVA S. UPI:619135112890. -IndusInd Bank,Personal Transfer
Your a/c 2731 debited for Rs.19380 on 21/11/26 trf to BYJU's. UPI:262217409532. -Karnataka Bank,Education
Your a/c XX4960 debited for Rs.34026.00 on 16-10-25 trf to RAVI KUMAR. UPI:919935809342. -Yes Bank,Personal Transfer
UPI payment INR 9260 to coursera@ybl from IndusInd Bank A/c *1431. 22/01/24. Ref 381724160929.,Education
Payment of Rs.1681 to zomato@kotak successful. Federal Bank A/c 5281. 09-11-2024. Ref 501857198741.,Food & Dining
MF purchase Rs.42480 to upstox@icici. Federal Bank. A/c *4296. 06-07-2025. Ref 527935780216.,Investment
Kotak Bank: Rs.40823 sent to SUNITA DEVI on 20-03-26. A/c ****9820. Ref 193988486213.,Personal Transfer
UPI:262515714476. Rs.22153.00 debited from *3515 to EDUCATION LOAN EMI on 01/07/26. Loan EMI. -Kotak Bank,Loan & EMI
Sent Rs.705.00 From ICICI Bank A/C *3118 To Biryani By Kilo On 23-07-25 Ref 770495045700,Food & Dining
Your a/c *9348 debited for Rs.15111 on 09/05/25 trf to Udemy. UPI:378800376810. -Karnataka Bank,Education
Federal Bank: Rs.23641.00 invested in AXIS MF on 28/10/2026. A/c 2623. Ref 921761446833.,Investment
Auto debit: Rs.39753 EMI from ICICI Bank A/c 6739 on 11-07-2024. Ref 204166721180. -Muthoot Finance,Loan & EMI
Your a/c ****3733 debited for Rs.3088.00 on 06/11/26 trf to FASTAG RECHARGE. UPI:234426425393. -Union Bank,Travel
Rs.3472 paid to EXAM FEES via UPI. Karnataka Bank A/c 5773. 23-12-26.,Education
UPI payment of INR 14608 to nykaa@upi from Karnataka Bank A/c *5804. 01-02-2025. Ref: 643288713208.,Shopping
Your a/c XX3621 debited for Rs.26582.00 on 05-02-2025 trf to Rohan Gupta. UPI:133507362346. -Yes Bank,Personal Transfer
Auto debit: Rs.3899 EMI from Yes Bank A/c XX7350 on 15-11-24. Ref 387936108940. -AXIS BANK EMI,Loan & EMI
