text,label
Myntra: Your order #IHBCVJ37HJZC is out for delivery today. Be available!,Shopping
"EMI of Rs.33,520 debited from Axis Bank A/c XX299741 on 15 July 2024. Ref: 614UMNWEPRS8. Bal: Rs.87,622.",Transaction
"Your monthly water charge Rs159,033 is due. Consumer A/c: XX233504. Due: 13 Jul 2026. -BWSSB",Bills
Your order #PN6T9EFJ24LV at Reliance Digital is confirmed. We'll notify you when it ships.,Shopping
Housewarming invitation: Divya has moved to a new home. Celebration on 15 December 2025 at 15:09.,Personal
"Dear Priya, your salary Rs.158,524 has been credited on 13 May 2024. Axis Bank.",Transaction
KFC: Use code FOOD25 and get 14% off on your next order. Valid till 01 Jul 2026.,Food
Standup meeting at 2:33 AM. Please join on time. -Office,Personal
"Ola: Ride completed. Fare INR101,232. Thanks for riding with us! Rate your trip.",Travel
KFC Update: Order #3RZB17CUOCQ0 picked up by delivery partner. ETA: 45 mins.,Food
DMart: Your order #E4PQK2IPQOPH is out for delivery today. Be available!,Shopping
"You have received INR12,525 from Priya via Paytm on 30 Aug 2025. IDFC FIRST Bank.",Transaction
"Your monthly water charge INR126,567 is due. Consumer A/c: XX389923. Due: 12-07-2026. -BWSSB",Bills
Great Indian Sale LIVE on Amazon India! Up to 40% off. Shop now!,Promotion
"Alert: ₹167,975 has been debited from A/c XX375935 on 22/11/2024. Balance: ₹236,400. -ICICI Bank",Transaction
Reliance Digital: Exchange request for order #9GALXLMJHDQJ confirmed. New item arrives by 27-06-2026.,Shopping
"Cheque No. 553203 for Rs.167,968 cleared on 02 September 2024. Union Bank A/c XX876055.",Transaction
"Transaction of ₹196,914 from Federal Bank A/c XX689125 on 21/12/2025 has FAILED. Ref: FCN0EAHRX0D9. Please retry.",Transaction
Pizza Hut: Order #CNO4QDRZE0MY delivered. Share feedback and help us improve!,Food
Arrey Lakshmi! HBD yaar. Treat toh banta hai! When are you free?,Personal
Jio Special: 2GB/day for 56 days at Rs.299. Recharge now!,Promotion
A/c XX6053 debited Rs.43771 on 02-01-24 trf to Rapido. UPI Ref:340713234664. -Yes Bank,Transaction
"UPI txn of Rs.34,063 to sneha@paytm via BHIM on 18-Nov-2025 20:36 from Indian Bank. Ref: A9RODEI4VXU4.",Transaction
IndiGo: Booking confirmed! Flight IX5223 | Mumbai → Delhi | 15 Mar 2025 3:41 PM | PNR: 1781349431.,Travel
Your login OTP is 305990. Valid for 3 minutes. Do not share with anyone.,OTP
"Amazon India: Your saved item price dropped to Rs.70,388. Buy now before it's gone!",Shopping
Croma: Order #MPDUKE12H6GS delivered on 03 August 2024 at 18:35. Hope you love it!,Shopping
We are pleased to invite you to the annual day function on 31-01-2024 at 02:20. -Cafe,Personal
College fest planning meeting at 03:43 today. All volunteers please attend.,Personal
"Your Union Bank account XX802291 is debited by ₹164,804 on 25 Sep 2025 18:12. Txn Ref: BIKCIDKWNNHJ.",Transaction
Kotak Mahindra Bank: Rs.25816 interest credited to Savings A/c XX214727 on 10-10-2025.,Transaction
"UPI txn of INR52,413 to nisha@upi via Paytm on 25-01-2025 3:00 AM from Bank of Baroda. Ref: EOM43T6UU8Z8.",Transaction
"Amit, movie plan tonight? 9 PM show. Let me know fast!",Personal
Did you see the news? Call me. It's urgent.,Personal
Cordially inviting you to my daughter's Seemantham on 22 March 2025. Your presence would honour us.,Personal
Swiggy Super: Get 10% off + free delivery on all orders. Subscribe now!,Promotion
A/c XX8713 debited Rs.6446 on 26-09-24 trf to Apollo Hospital. UPI Ref:912298334837. -SBI,Transaction
PNR 9523587386: Waiting list position changed to 19. Train 13675 on 10-11-2025.,Travel
OTP 18381181 required for your delivery. Share with the delivery partner. -Myntra,OTP
Indane Gas: Book your cylinder at Rs.1153. Call 71807 or use app.,Bills
"NEFT transfer 0C1N0GKCPOPX: ₹166,508 sent successfully from Canara Bank. Bal: Rs.412,165.",Transaction
Attendance shortage warning: CS class. Attend all remaining lectures.,Personal
"Airtel DTH: Auto-renewal of INR142,973 on 07/07/2026. Ensure sufficient balance in linked account.",Bills
Your OTP for Umang portal is 781706. Expires in 30 mins.,OTP
Cashback offer: Use Paytm Wallet and get Rs.120 back on spends above Rs.1000.,Promotion
"Rapido: Ride confirmed. Driver en route. Ref: EPM54OAWCXM5. Estimated fare: ₹25,879.",Travel
Boarding reminder: Flight SG6038 departs at 9:31 AM from Bengaluru. Please report 2 hrs early. -Uber,Travel
Your food is on the way! Domino's order #AWKNU1LUZPWS. Arriving in 45 minutes.,Food
OTP for Axis Bank transaction: 398842. Expires in 30 minutes. Do NOT share.,OTP
Your order #OEWZ842SAPSE at Croma is confirmed. We'll notify you when it ships.,Shopping
Axis Bank: Rs.5711 debited from XX8483 to Decathlon on 19-05-26. Ref 503761153175.,Transaction
Happy bday Amit! Party tonight? Let me know 😄,Personal
Zomato Cashback: Rs.452 added to wallet. Total balance: Rs.436.,Food
"IndiGo: Flight 6E3712 booking cancelled. Refund INR62,247 within 7 business days. Ref: WKWNG8CZE5OM.",Travel
Reminder: Team meeting tomorrow at 08:10 in the mall. Please be on time.,Personal
Pizza Hut Cashback: Rs.113 added to wallet. Total balance: Rs.424.,Food
Web check-in open for your IndiGo flight 6E1142 on 07/12/2025. PNR: 2322851766. Check-in now.,Travel
Flipkart: Order #2KTTNRMDXIU5 successfully delivered. Share your feedback on the app.,Shopping
End of Season Sale: Up to 50% off at Myntra. Valid till 10/07/2026.,Promotion
Two-wheeler insurance renewal reminder. Insure now at just Rs.1143. -Union Bank,Promotion
Flipkart: Your OTP for order confirmation is 35659497. Valid for 10 minutes.,OTP
Reliance Digital: We've received your return request. Pickup scheduled for 14 Jul 2026.,Shopping
"Uber: Trip started. Safe travels! Driver: Priya. From: Kochi. Est. fare: ₹15,770.",Travel
"Airtel: Monthly bill Rs.78,317 generated. Due: 08 Jul 2026. View bill at airtel.in/myairtel.",Bills
Order groceries on DMart and get 20% off + free delivery. Code: SAVE20.,Promotion
Pay via Paytm and earn 15% cashback up to Rs.78. T&C apply.,Promotion
Cashback offer: Use PhonePe Wallet and get Rs.348 back on spends above Rs.1000.,Promotion
Punjab National Bank: 316014 is the OTP to authorise fund transfer. Do not share with anyone.,OTP
Security code 382203 for your account login. Valid 10 mins. Never share.,OTP
Amazon Pay OTP 7999 for checkout. Expires 10 mins. Do not share.,OTP
Happy bday Ananya! Party tonight? Let me know 😄,Personal
Delivery verification code: 577106. Provide to delivery agent to collect your order.,OTP
"Water bill alert: Rs97,654 due by 01/07/2026. Pay via Google Pay or nearest kiosk. -BWSSB",Bills
"IMPS Ref MOEGPCP03YYS: ₹110,193 transferred from Kotak Mahindra Bank A/c XX436927 to XX667253 on 12 September 2025.",Transaction
Delivery OTP for your order: 3722. Share with delivery agent to receive package.,OTP
"Your Union Bank account XX622971 is debited by INR19,522 on 18-Nov-2025 9:23 PM. Txn Ref: IE5APCBFLUN3.",Transaction
"IndiGo: Flight SG4090 bookng cancelled. Refund ₹56,937 within 7 business days. Ref: V124G91TIQRW.",Travel
