text,label
Payment of Rs.150 to insurance company successful via GPay. Ref 1JED1UWBDH.,Transaction
Payment of Rs.99 to society office successful via BHIM UPI. Ref GYUHW3A3ZM.,Transaction
Payment of Rs.499 to gas agency successful via Paytm. Ref DNNMJBRE7C.,Transaction
Payment of Rs.12500 to broadband provider successful via BHIM UPI. Ref 6NGCY2955N.,Transaction
Payment of Rs.12500 to DTH operator successful via Paytm. Ref FNYZZCXUJR.,Transaction
Payment of Rs.12500 to broadband provider successful via BHIM UPI. Ref HM2B33PC7V.,Transaction
Payment of Rs.1250 to insurance company successful via PhonePe. Ref YP7RKJVJV6.,Transaction
Payment of Rs.1250 to DTH operator successful via PhonePe. Ref 9ES15FFZWP.,Transaction
Payment of Rs.3500 to society office successful via BHIM UPI. Ref JU8ZD612MK.,Transaction
Payment of Rs.3500 to gas agency successful via GPay. Ref 85JTG75LXW.,Transaction
Payment of Rs.1250 to gas agency successful via PhonePe. Ref U2UAMA754L.,Transaction
Payment of Rs.499 to electricity board successful via BHIM UPI. Ref 8CSC12ESUK.,Transaction
Payment of Rs.2340 to society office successful via PhonePe. Ref 71Z0PYN6RJ.,Transaction
Payment of Rs.1250 to electricity board successful via GPay. Ref WHHCXH65CJ.,Transaction
Payment of Rs.3500 to insurance company successful via PhonePe. Ref U06VJSPDYN.,Transaction
Payment of Rs.3500 to DTH operator successful via GPay. Ref Y9DPM5JGRQ.,Transaction
Payment of Rs.3500 to broadband provider successful via PhonePe. Ref 5C35DYUAD1.,Transaction
Payment of Rs.249 to gas agency successful via Amazon Pay. Ref SHPBN9K2RQ.,Transaction
Payment of Rs.4899 to insurance company successful via Amazon Pay. Ref FL8VU1BVT4.,Transaction
Payment of Rs.99 to gas agency successful via BHIM UPI. Ref CGWYHE6JWX.,Transaction
Payment of Rs.12500 to DTH operator successful via BHIM UPI. Ref VLJYLKEXR7.,Transaction
Payment of Rs.99 to electricity board successful via Amazon Pay. Ref XVDUTEMCJK.,Transaction
Payment of Rs.4899 to DTH operator successful via Paytm. Ref W9YA3LY7ED.,Transaction
Payment of Rs.4899 to electricity board successful via PhonePe. Ref KW0GXJS64D.,Transaction
Payment of Rs.999 to DTH operator successful via GPay. Ref A2XJ1UQAC6.,Transaction
Payment of Rs.4899 to gas agency successful via GPay. Ref 4VFEL6356H.,Transaction
Payment of Rs.12500 to gas agency successful via GPay. Ref NV5917JF3G.,Transaction
Payment of Rs.99 to DTH operator successful via PhonePe. Ref 1M7353K2D5.,Transaction
Payment of Rs.499 to DTH operator successful via PhonePe. Ref 3RL3HAGM58.,Transaction
Payment of Rs.1250 to broadband provider successful via BHIM UPI. Ref P9U7D8G8KD.,Transaction
Payment of Rs.1250 to DTH operator successful via Paytm. Ref Q9D6GBQT3Z.,Transaction
Payment of Rs.12500 to insurance company successful via PhonePe. Ref NCYML40LLP.,Transaction
Payment of Rs.999 to DTH operator successful via BHIM UPI. Ref EQ7Z6WLUAK.,Transaction
Payment of Rs.7200 to DTH operator successful via BHIM UPI. Ref YRRHS63FCT.,Transaction
Payment of Rs.7200 to insurance company successful via Paytm. Ref D8HL3FB9W2.,Transaction
Payment of Rs.2340 to DTH operator successful via BHIM UPI. Ref GZSJYA12DQ.,Transaction
Payment of Rs.4899 to gas agency successful via Amazon Pay. Ref BJ4R3Y9W86.,Transaction
Payment of Rs.4899 to society office successful via Amazon Pay. Ref 4U61SJJX2T.,Transaction
Payment of Rs.499 to insurance company successful via Paytm. Ref Q0HM6CFPFH.,Transaction
Payment of Rs.2340 to DTH operator successful via Paytm. Ref UQHQ6VZ52N.,Transaction
Payment of Rs.1250 to electricity board successful via Paytm. Ref 158Q1UWHHQ.,Transaction
Payment of Rs.2340 to electricity board successful via Paytm. Ref Y30479U6WY.,Transaction
Payment of Rs.12500 to electricity board successful via Amazon Pay. Ref ERBNHM1N14.,Transaction
Payment of Rs.150 to broadband provider successful via Amazon Pay. Ref AU9MY2Y18G.,Transaction
Payment of Rs.7200 to electricity board successful via PhonePe. Ref JSD8RJNW80.,Transaction
