text,label
075298 is your OTP for login to IDFC First Bank. Valid for 5 mins. Do not share with anyone.,OTP
Your flight ticket booked via RedBus. Booking ID LUUZY87I. Departure: 24/11/2024,Travel
Order #A2KWVTFX from Swiggy delivered! Enjoy your meal. Rate your experience.,Food
"Divya, running 27 mins late for the birthday party, sorry!",Personal
Uber: Flat 20% OFF on your next order! Use code SAVE57. Valid till 06/10/2024.,Promotion
"Your OTP for transaction of Rs.30,267 is 034136. Valid for 10 min. Do not share this OTP.",OTP
Snapdeal: Order #BS7IZ8ISW5 delivered successfully. Thank you for shopping with us!,Shopping
IndiGo: Reminder - your trip to Delhi is on 22-04-2026. Check-in opens soon.,Travel
"Reminder: Your insurance premium payment of Rs.18,290 is due on 19-04-2025. A/c XX8181",Bills
Last chance! 30% cashback on Zepto with GPay. Offer ends 05/10/2024.,Promotion
Last chance! 20% cashback on Paytm with Paytm. Offer ends 29-12-2024.,Promotion
"Rohan, running 28 mins late for the movie night, sorry!",Personal
"ACT Fibernet: Your bill of Rs.4,319 for A/c XX6686 is generated. Due date 06/10/2024. Pay now to avoid late fee.",Bills
"Sent Rs.9,944 From IndusInd Bank A/C XX4623 To Meesho On 20/05/2025 Ref BRZVA9WDJSGG",Transaction
"Your Lenskart order of Rs.17,828 has been shipped. Track: T122JKZ36C",Shopping
"Withdrawal of Rs.10,787 at ATM 8N10HL on 21-08-2024 from A/c XX6456. Avl Bal Rs.52,662",Transaction
"EMI of Rs.13,349 debited from SBI A/c XX1616 on 15-02-2024. Ref: TV75SSUMH0Z. Bal: Rs.98,068",Transaction
Ajio: Order #KN4QQAD8AI delivered successfully. Thank you for shopping with us!,Shopping
"Rs.21,983 credited to your A/c XX4051 on 04/01/2026 by Federal Bank. Avl Bal: Rs.177,943",Transaction
"Overdue Notice: Rs.8,838 pending on your water A/c XX5507. Pay by 21-02-2025 to avoid disconnection.",Bills
"Your OTP for transaction of Rs.28,640 is 368729. Valid for 10 min. Do not share this OTP.",OTP
"602332 is your one-time password for card transaction of Rs.38,030 at Croma.",OTP
"Your McDonald's order of Rs.1,473 has been confirmed. ETA 32 mins.",Food
Amazon: Flat 60% OFF on your next order! Use code SAVE19. Valid till 01-11-2024.,Promotion
Jio: Your bill of Rs.469 for A/c XX3149 is generated. Due date 14/06/2024. Pay now to avoid late fee.,Bills
"Your OTP for transaction of Rs.16,247 is 260835. Valid for 5 min. Do not share this OTP.",OTP
"UPI txn of Rs.4,431 to Arjun@ybl successful. Ref 3H7T6UDOJY6G",Transaction
"UPI txn of Rs.4,399 to Manoj@paytm successful. Ref ZHS1EV2SOS7D",Transaction
"EMI of Rs.25,246 debited from IDFC First Bank A/c XX8590 on 01/02/2026. Ref: 9440DCLQGDD. Bal: Rs.190,221",Transaction
Ola: Your driver Arjun is 6 mins away. OTP 0186,Travel
"Your Mahanagar Gas bill Rs.4,217 has been paid successfully on 05-09-2024. Ref 4YU4IJ0W80",Bills
Use OTP 374838 to complete your KYC verification with HDFC Bank. Valid for 10 mins. Never share this with anyone.,OTP
