text,label
Your car loan EMI of Rs.12068 has been debited from account. Receipt: BYFXDZ425W. -IndusInd Bank,Loan
Fortis Hospital: Discharge summary ready. Final bill Rs.43454. Ref: HLHI5EIEUN,Healthcare
Lal PathLabs: Sample 322Z99K1DW collected. Reports ready by 15-May-2025. Download on app.,Healthcare
Recurring Deposit: Rs.35818 installment debited. RD matures on 06-Sep-2025. -HDFC Bank,Investment
Lal PathLabs: Sample 2IZX13NWCA collected. Reports ready by 13-Jan-2025. Download on app.,Healthcare
Practo: Your teleconsultation with Dr. Mehta at 04:30 PM today. Join via app.,Healthcare
PNB Health: Your cashless request at hospital approved upto Rs.3863. Auth: W4TNMZKSLL,Insurance
Kotak Bank: Your loan is overdue. Overdue EMI: Rs.80479. Call 1800-XXX-XXXX to regularize.,Loan
SRL Diagnostics: Your test reports are ready. View at srl.in using AC0K1YXSI4.,Healthcare
"Dear Customer, your Home Loan EMI of Rs.71784 is due on 21-Jan-2025. Please pay to avoid penalty. -Kotak Bank",Loan
BookMyShow: Booking confirmed! Kalki 2898 AD at PVR: Phoenix on 20-Jan-2025. Ref: LT23XF3525,Entertainment
FD interest Rs.145781 credited to account. Ref: 9SGXA892IB. -ICICI Bank,Investment
LIC of India: Premium Rs.113389 for policy R4VX6TTK7R due 19-Oct-2025. Pay at LIC portal.,Insurance
FD interest Rs.141062 credited to account. Ref: 28TYU03ZXB. -PNB,Investment
Zomato Live: Ticket for Arijit Singh Live booked. Rs.123522 paid. Date: 19-Jul-2025. Ref: B4AOGX7HXV,Entertainment
NEET 2025: Your hall ticket is ready. Download using I19KDN8J1T. Exam date: 01-Jun-2025.,Education
Spotify: Premium renewed at Rs.168043. Download unlimited songs. Enjoy!,Entertainment
Congratulations! Your Canara Bank personal loan Rs.141669 at 12.3% p.a. is approved.,Loan
PM Scholarship: Rs.141669 credited to account 3NCSTLRUCM. Continue your education.,Education
Vaccination reminder: Your next dose is due on 09-Jun-2025. Consult your doctor.,Healthcare
